OrderID,CustomerID,ProductID,ProductName,StoreID,DeliveryPartnerID,OrderDate,DeliveryDate,UnitPrice,Quantity,TotalPrice,DiscountApplied,DeliveryTimeMinutes,OrderStatus,PaymentMethodID,TimeOfDay
ORD00001,CUST0041,PROD002,Britannia Milk Bread,STORE038,DP006,31-08-2024 00:59,31-08-2024 01:16,45,7,315,2.6,17,Pending,PAY04,Morning
ORD00002,CUST0050,PROD034,Vim Dishwash Liquid Gel 500ml,STORE022,DP047,25-08-2024 06:35,25-08-2024 06:53,105,6,630,81.61,18,Shipped,PAY02,Morning
ORD00003,CUST0048,PROD107,Rin Detergent Bar 250g,STORE032,DP030,15-12-2024 01:02,15-12-2024 01:21,20,10,200,81.81,19,Cancelled,PAY04,Morning
ORD00004,CUST0047,PROD013,Fresh Potato 1kg,STORE002,DP050,01-06-2024 09:47,01-06-2024 10:07,30,1,30,97.78,20,Delivered,PAY05,Morning
ORD00005,CUST0047,PROD073,Balaji Wafers Simply Salted,STORE009,DP043,07-03-2024 01:09,07-03-2024 01:30,20,5,100,62.64,21,Cancelled,PAY02,Morning
ORD00006,CUST0032,PROD004,Tata Salt Iodized 1kg,STORE037,DP043,09-06-2024 10:51,09-06-2024 11:13,28,7,196,82.48,22,Pending,PAY01,Morning
ORD00007,CUST0039,PROD023,Bru Instant Coffee 100g,STORE006,DP028,18-03-2024 09:54,18-03-2024 10:17,210,1,210,6.63,23,Pending,PAY01,Morning
ORD00008,CUST0018,PROD064,Fresh Pomegranate 1kg,STORE039,DP020,09-12-2024 06:43,09-12-2024 07:07,220,1,220,58.42,24,Delivered,PAY05,Morning
ORD00009,CUST0031,PROD124,Sleepy Owl Cold Brew Coffee,STORE049,DP039,17-04-2024 01:38,17-04-2024 02:03,120,4,480,60.54,25,Delivered,PAY03,Morning
ORD00010,CUST0048,PROD084,ITC Master Chef Frozen Peas 500g,STORE012,DP046,22-09-2024 06:04,22-09-2024 06:30,125,5,625,67.07,26,Pending,PAY04,Morning
ORD00011,CUST0033,PROD066,Go Cheese Slices 100g,STORE043,DP031,17-02-2024 04:12,17-02-2024 04:39,75,7,525,64.98,27,Cancelled,PAY01,Morning
ORD00012,CUST0036,PROD102,Patanjali Dant Kanti Toothpaste 100g,STORE033,DP017,21-04-2024 10:40,21-04-2024 11:08,50,5,250,3.71,28,Delivered,PAY03,Morning
ORD00013,CUST0029,PROD130,Stayfree Secure XL Wings 20 pads,STORE023,DP012,26-07-2024 01:26,26-07-2024 01:55,90,9,810,87.89,29,Shipped,PAY01,Morning
ORD00014,CUST0032,PROD121,Epigamia Greek Yogurt Strawberry,STORE039,DP028,07-11-2024 03:52,07-11-2024 04:22,45,4,180,43.53,30,Shipped,PAY04,Morning
ORD00015,CUST0042,PROD144,Drools Adult Dog Food Chicken & Egg 3kg,STORE002,DP010,24-06-2024 09:53,24-06-2024 10:03,650,3,1950,42.96,10,Shipped,PAY03,Morning
ORD00016,CUST0022,PROD012,Fresh Tomato 1kg,STORE032,DP040,10-07-2024 00:49,10-07-2024 01:00,35,8,280,53.92,11,Pending,PAY02,Morning
ORD00017,CUST0038,PROD133,Borges Olive Oil Extra Light 1L,STORE041,DP042,07-06-2024 02:08,07-06-2024 02:20,950,6,5700,72.8,12,Shipped,PAY05,Morning
ORD00018,CUST0027,PROD031,Lifebuoy Total 10 Soap 125g,STORE018,DP026,21-01-2024 06:06,21-01-2024 06:19,36,9,324,24.04,13,Shipped,PAY03,Morning
ORD00019,CUST0009,PROD145,Huggies Wonder Pants M-size 42,STORE021,DP014,06-04-2024 08:15,06-04-2024 08:29,650,8,5200,75.12,14,Shipped,PAY02,Morning
ORD00020,CUST0021,PROD062,Fresh Cauliflower 1pc,STORE036,DP005,08-02-2024 09:18,08-02-2024 09:33,40,9,360,98.71,15,Delivered,PAY04,Morning
ORD00021,CUST0030,PROD137,Ching's Secret Schezwan Chutney,STORE001,DP031,26-12-2024 06:18,26-12-2024 06:34,85,8,680,64.95,16,Shipped,PAY03,Morning
ORD00022,CUST0044,PROD041,Everest Turmeric Powder 200g,STORE004,DP011,08-10-2024 04:45,08-10-2024 05:02,60,5,300,19.13,17,Delivered,PAY02,Morning
ORD00023,CUST0001,PROD106,Hide & Seek Chocolate Chip Cookies,STORE031,DP015,30-06-2024 05:29,30-06-2024 05:47,30,5,150,42.54,18,Pending,PAY02,Morning
ORD00024,CUST0002,PROD139,Amul Dark Chocolate 150g,STORE015,DP018,30-06-2024 05:54,30-06-2024 06:13,120,6,720,76.08,19,Delivered,PAY01,Morning
ORD00025,CUST0032,PROD131,Himalaya Purifying Neem Face Wash,STORE003,DP045,30-05-2024 08:25,30-05-2024 08:45,140,6,840,34.96,20,Shipped,PAY04,Morning
ORD00026,CUST0037,PROD078,Pears Pure & Gentle Soap 125g,STORE045,DP037,16-04-2024 11:34,16-04-2024 11:55,70,7,490,97.78,21,Cancelled,PAY05,Morning
